"filename", "language", "YAML", "JSON", "Markdown", "TypeScript", "HTML", "Gradle", "Java Properties", "JavaScript", "JSON with Comments", "TypeScript JSX", "Batch", "Perl", "CSS", "MS SQL", "Python", "Rust", "XML", "Java", "Shell Script", "Docker", "pip requirements", "comment", "blank", "total"
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\videoModeration.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 33
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\api\webhooks.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 26, 143
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\bots\bots.ts", "TypeScript", 0, 0, 0, 383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 68, 475
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\bots\index.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\bots\intelligence.ts", "TypeScript", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29, 169
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\bots\memory.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\bots\plugins.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 78
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\cache\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\config\firebase.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 84
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\config\server.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\controllers\auth.controller.ts", "TypeScript", 0, 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 76, 507
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\controllers\channel.controller.ts", "TypeScript", 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 183
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\server\src\controllers\gifting.controller.ts", "TypeScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 143
